date,여행,코디,isPartial
2022-11-20,73,29,False
2022-11-27,70,27,False
2022-12-04,74,25,False
2022-12-11,80,26,False
2022-12-18,85,28,False
2022-12-25,76,29,False
2023-01-01,86,26,False
2023-01-08,89,27,False
2023-01-15,82,25,False
2023-01-22,87,28,False
2023-01-29,85,27,False
2023-02-05,90,26,False
2023-02-12,80,26,False
2023-02-19,71,28,False
2023-02-26,69,27,False
2023-03-05,70,30,False
2023-03-12,62,27,False
2023-03-19,75,31,False
2023-03-26,73,28,False
2023-04-02,76,26,False
2023-04-09,74,25,False
2023-04-16,79,28,False
2023-04-23,83,27,False
2023-04-30,81,27,False
2023-05-07,89,27,False
2023-05-14,73,24,False
2023-05-21,70,19,False
2023-05-28,72,18,False
2023-06-04,66,18,False
2023-06-11,73,20,False
2023-06-18,79,20,False
2023-06-25,72,24,False
2023-07-02,78,23,False
2023-07-09,71,22,False
2023-07-16,71,21,False
2023-07-23,73,21,False
2023-07-30,73,22,False
2023-08-06,73,20,False
2023-08-13,69,21,False
2023-08-20,74,18,False
2023-08-27,67,20,False
2023-09-03,66,23,False
2023-09-10,65,22,False
2023-09-17,65,23,False
2023-09-24,64,23,False
2023-10-01,68,27,False
2023-10-08,63,25,False
2023-10-15,63,24,False
2023-10-22,62,24,False
2023-10-29,70,21,False
2023-11-05,63,24,False
2023-11-12,61,21,False
2023-11-19,68,22,False
2023-11-26,72,24,False
2023-12-03,71,20,False
2023-12-10,70,20,False
2023-12-17,69,23,False
2023-12-24,71,21,False
2023-12-31,74,21,False
2024-01-07,75,23,False
2024-01-14,69,22,False
2024-01-21,68,21,False
2024-01-28,64,20,False
2024-02-04,57,20,False
2024-02-11,64,22,False
2024-02-18,64,20,False
2024-02-25,59,20,False
2024-03-03,60,21,False
2024-03-10,63,23,False
2024-03-17,61,23,False
2024-03-24,59,22,False
2024-03-31,59,23,False
2024-04-07,58,24,False
2024-04-14,64,21,False
2024-04-21,55,20,False
2024-04-28,72,21,False
2024-05-05,66,20,False
2024-05-12,67,20,False
2024-05-19,70,18,False
2024-05-26,76,18,False
2024-06-02,72,16,False
2024-06-09,77,18,False
2024-06-16,77,18,False
2024-06-23,71,18,False
2024-06-30,74,17,False
2024-07-07,76,17,False
2024-07-14,77,17,False
2024-07-21,74,16,False
2024-07-28,75,16,False
2024-08-04,71,16,False
2024-08-11,73,16,False
2024-08-18,67,15,False
2024-08-25,64,16,False
2024-09-01,69,17,False
2024-09-08,71,18,False
2024-09-15,77,20,False
2024-09-22,77,22,False
2024-09-29,72,25,False
2024-10-06,69,24,False
2024-10-13,70,23,False
2024-10-20,68,24,False
2024-10-27,69,22,False
2024-11-03,69,22,False
2024-11-10,73,22,False
2024-11-17,80,26,False
2024-11-24,77,26,False
2024-12-01,84,25,False
2024-12-08,80,25,False
2024-12-15,95,29,False
2024-12-22,94,28,False
2024-12-29,88,24,False
2025-01-05,97,24,False
2025-01-12,90,23,False
2025-01-19,91,22,False
2025-01-26,87,27,False
2025-02-02,77,23,False
2025-02-09,79,23,False
2025-02-16,78,23,False
2025-02-23,77,25,False
2025-03-02,72,26,False
2025-03-09,74,25,False
2025-03-16,70,27,False
2025-03-23,66,25,False
2025-03-30,62,23,False
2025-04-06,62,23,False
2025-04-13,63,28,False
2025-04-20,69,24,False
2025-04-27,67,24,False
2025-05-04,68,25,False
2025-05-11,70,24,False
2025-05-18,67,23,False
2025-05-25,74,22,False
2025-06-01,75,23,False
2025-06-08,75,25,False
2025-06-15,80,28,False
2025-06-22,78,27,False
2025-06-29,87,26,False
2025-07-06,87,27,False
2025-07-13,88,28,False
2025-07-20,94,28,False
2025-07-27,100,26,False
2025-08-03,93,23,False
2025-08-10,95,25,False
2025-08-17,95,23,False
2025-08-24,87,24,False
2025-08-31,89,22,False
2025-09-07,86,23,False
2025-09-14,95,24,False
2025-09-21,93,30,True
